pick_index	event_index	gamma_score
4019	0	0.02185310079331644
6723	0	0.000377028828529804
10952	0	0.00665037456728868
15087	0	0.021598663161366913
16880	0	0.0025498422981335258
19863	0	0.027263290668275028
21004	0	0.013923249641082667
23689	0	0.009427298701043973
26426	0	0.010049820333378201
31419	0	0.006431104711054077
32626	0	0.0021287418722772907
37979	0	0.00036298225558537147
57601	0	0.0010174482191387835
61800	0	0.0015263483437367733
78930	0	0.0020688467034673317
81613	0	0.017255229513359244
5406	1	0.02185310079331644
6724	1	0.000377028828529804
29531	1	0.00665037456728868
32627	1	0.021598663161366913
33984	1	0.0025498422981335258
35966	1	0.027263290668275028
51211	1	0.013923249641082667
53835	1	0.009427298701043973
56536	1	0.010049820333378201
57602	1	0.006431104711054077
65196	1	0.0021287418722772907
66956	1	0.00036298225558537147
72585	1	0.0010174482191387835
74434	1	0.0015263483437367733
76271	1	0.0020688467034673317
78931	1	0.017255229513359244
81147	1	0.0013163903780296616
85927	1	0.0005769023336767918
2684	2	0.02185310079331644
4020	2	0.000377028828529804
5407	2	0.00665037456728868
6725	2	0.021598663161366913
24941	2	0.0025498422981335258
26427	2	0.027263290668275028
27976	2	0.013923249641082667
33986	2	0.009427298701043973
51212	2	0.010049820333378201
53836	2	0.006431104711054077
57603	2	0.0021287418722772907
65197	2	0.00036298225558537147
66958	2	0.0010174482191387835
72586	2	0.0015263483437367733
77529	2	0.0020688467034673317
78932	2	0.017255229513359244
81614	2	0.0013163903780296616
89530	2	0.0005769023336767918
16883	3	0.02185310079331644
26430	3	0.000377028828529804
27977	3	0.00665037456728868
33988	3	0.021598663161366913
65198	3	0.0025498422981335258
72589	3	0.027263290668275028
74438	3	0.013923249641082667
81149	3	0.009427298701043973
2756	4	0.002031841548626073
4084	4	0.001461237919301553
5476	4	0.010691235815499758
6786	4	0.07750011459209169
9194	4	0.0016530217225310586
10992	4	0.02618705009747991
11963	4	0.0029112935713257026
12759	4	0.032811488525551664
13713	4	0.002710964772181758
15229	4	0.026317631096300254
19952	4	0.008032879615021662
21118	4	0.0031956736192632223
22416	4	9.567894511852919e-05
25034	4	0.0694319486946408
26527	4	0.058561488342417624
31486	4	0.013830516198160165
32684	4	0.04013497423785602
36124	4	0.08679563852920982
38039	4	0.005387647198714378
38977	4	0.07046528790252211
44932	4	0.04983501791787052
51365	4	0.08126944500908143
56609	4	0.0008890096212586868
57699	4	0.0008322477953202845
59339	4	0.005654604108961375
61993	4	0.0018326899423346391
65310	4	0.07207480209987911
67094	4	0.006488611860818841
76343	4	0.001407047625047494
77598	4	0.0013867735110443709
78999	4	0.036537149257551436
80047	4	0.002614173142840541
81202	4	0.011702625059895645
81681	4	0.0004660971224376108
85163	4	0.0016350008118022942
85981	4	0.0030009051262542222
86866	4	0.0062435404546148
87897	4	0.009717204813197822
2757	5	0.15392291834812455
5477	5	0.12380294372231206
6787	5	0.05852754827691799
10993	5	0.009297014208200269
11964	5	0.14362584166737993
12760	5	0.09671057325161643
13714	5	0.037098431974435415
17047	5	0.0878199519085868
19954	5	0.013562775507815527
21120	5	0.01571213069583134
22418	5	0.10051187689736892
25035	5	0.09531671263525184
26528	5	0.08932425348696037
28073	5	0.08239529336330495
29643	5	0.0749332572322829
31487	5	0.13103398451009832
32685	5	0.11640144448734283
34124	5	0.1748961749999543
36125	5	0.07559254751874579
38040	5	0.12636302611363265
44933	5	0.05668699742312726
51367	5	0.12387489971329613
53990	5	0.06567270349422236
56610	5	0.1593645106445463
65311	5	0.0773044952999402
67095	5	0.03619189545083589
72729	5	0.008571696592047073
74585	5	0.07387188263958318
76344	5	1.3641573026832876e-07
79000	5	0.16875164570312842
81203	5	4.351986843688475e-06
81682	5	0.14703140315894037
82276	5	0.08682088285517245
85164	5	0.08778710740047073
86867	5	0.11231053442451985
3535	6	0.0003090234550673354
4936	6	0.0005710568727465875
9531	6	0.0015145741921681593
10046	6	0.00024936961902688215
11333	6	0.0025919593697543365
11770	6	0.0017632562398054105
12404	6	0.00580421933836831
14210	6	0.002053794857953236
18397	6	0.032438544213114574
25892	6	0.0013271597850347133
27410	6	0.010377032404295822
33487	6	0.0032742600910406613
35222	6	0.0036952150730105364
37289	6	0.0038479150118606105
50108	6	0.004468988064436303
52909	6	0.0023746652537808893
55693	6	0.01240192900961863
58562	6	0.01513339355025251
60861	6	0.01346786106188578
78473	6	0.0044087236959629034
79599	6	0.025212334573945974
80769	6	0.0014968352319056218
83132	6	0.042577738288667843
84613	6	0.0025514034687773588
87494	6	0.0014059611149652828
88563	6	0.00680143065661161
91642	6	0.0010325178931435345
600	7	0.0003090234550673354
8845	7	0.0005710568727465875
35224	7	0.0015145741921681593
39605	7	0.00024936961902688215
47645	7	0.0025919593697543365
60863	7	0.0017632562398054105
63826	7	0.00580421933836831
71707	7	0.002053794857953236
77087	7	0.032438544213114574
91644	7	0.0013271597850347133
8359	8	0.0003090234550673354
23177	8	0.0005710568727465875
42899	8	0.0015145741921681593
60864	8	0.00024936961902688215
86506	8	0.0025919593697543365
90319	8	0.0017632562398054105
1868	9	0.0003090234550673354
6234	9	0.0005710568727465875
7700	9	0.0015145741921681593
16266	9	0.00024936961902688215
43977	9	0.0025919593697543365
47648	9	0.0017632562398054105
50111	9	0.00580421933836831
57201	9	0.002053794857953236
73628	9	0.032438544213114574
75517	9	0.0013271597850347133
28980	10	0.0003090234550673354
43978	10	0.0005710568727465875
47649	10	0.0015145741921681593
50112	10	0.00024936961902688215
58563	10	0.0025919593697543365
66344	10	0.0017632562398054105
69976	10	0.00580421933836831
79600	10	0.002053794857953236
208	11	0.0014401554434427997
1509	11	0.071780669486798
3361	11	0.019647409772421687
6057	11	0.0007898740997868899
7493	11	0.07989296356404697
11254	11	0.06726997376283768
12302	11	0.0008492962037856513
14121	11	0.025921729395652206
16050	11	0.007429358828170811
18104	11	0.0019919729846701083
20627	11	0.02327466244143829
21986	11	0.04578920692505749
22964	11	0.0027671107581428876
30550	11	0.0009647622068054373
38467	11	0.026453221841458017
39472	11	0.0017288437305111024
45246	11	0.042436785581846916
49637	11	0.0006096815923970289
52542	11	0.0012166945009506574
55285	11	0.008132081767080395
63404	11	0.01440158302104917
66109	11	0.005081717307344131
68085	11	0.0003594544159805673
71359	11	0.0037208350579944196
75240	11	0.04769564709645021
79467	11	0.0027437723723785284
85532	11	0.002708207050034822
86394	11	0.05447243915073346
87353	11	0.0009300446592548343
91452	11	0.0019384882345702948
209	12	0.0014401554434427997
3363	12	0.071780669486798
4733	12	0.019647409772421687
6060	12	0.0007898740997868899
7496	12	0.07989296356404697
10811	12	0.06726997376283768
20629	12	0.0008492962037856513
21988	12	0.025921729395652206
22965	12	0.007429358828170811
25688	12	0.0019919729846701083
27203	12	0.02327466244143829
28766	12	0.04578920692505749
33290	12	0.0027671107581428876
37026	12	0.0009647622068054373
47222	12	0.026453221841458017
49641	12	0.0017288437305111024
52544	12	0.042436785581846916
55286	12	0.0006096815923970289
58350	12	0.0012166945009506574
66111	12	0.008132081767080395
69640	12	0.01440158302104917
71361	12	0.005081717307344131
73372	12	0.0003594544159805673
75242	12	0.0037208350579944196
79469	12	0.04769564709645021
80614	12	0.0027437723723785284
85534	12	0.002708207050034822
87355	12	0.05447243915073346
88418	12	0.0009300446592548343
603	13	0.13104776079524996
1870	13	0.05399230175981196
3537	13	0.3511905688137455
4937	13	0.05326530723549746
6235	13	0.33537995417592353
7701	13	0.10922168055673227
8360	13	0.3287591336692654
8846	13	0.1662720467777898
11334	13	0.000688022846156143
12406	13	0.09891504994139902
13343	13	0.1546622607204779
14211	13	0.21796257046349177
16268	13	0.022330369646679196
18398	13	0.23037911657265017
23178	13	0.2554560187127334
25895	13	0.12962057653079315
27413	13	0.3371070095002482
28981	13	0.04777958196620718
30826	13	0.005613359328648609
32179	13	0.26071412970959884
33490	13	0.10996522280112987
38581	13	0.29971269876042506
42903	13	0.11707671632255431
43982	13	0.024719121285813408
45328	13	0.26852937743129796
47653	13	0.29751555483703
52911	13	0.15442048633581276
55698	13	0.004027362316131493
57202	13	0.13276707685258995
58564	13	0.23844899991739318
60867	13	0.18339505066641593
63828	13	0.1387042110314919
66346	13	0.23293325730123907
68372	13	0.03809168548493122
69979	13	0.2990014597252677
71711	13	0.31435922521924736
73629	13	0.35988038115946286
77088	13	0.19843747712133192
79602	13	0.2964348488279211
80771	13	0.14453166434085532
83135	13	0.32552250554208384
84615	13	2.2448584555326662e-05
85644	13	0.07216725336020949
87495	13	0.24340050664421553
90320	13	0.17827122750946928
210	14	0.07897355164071307
3364	14	0.0008260275709560466
4734	14	0.001431744644824973
6061	14	0.14755545977977064
9452	14	0.06086968655243787
9988	14	0.07832898578881081
12303	14	0.03374440134304943
14124	14	0.05488712830906925
20630	14	0.12056633834665335
21989	14	0.0683857879583707
25689	14	0.05064755462724199
27204	14	0.11593350861910105
28767	14	0.08453340501487175
30554	14	0.07593207482193944
38468	14	0.05014014084994899
47223	14	0.03827537449700926
49642	14	0.0028729101018181726
52546	14	0.0034368453774971846
55287	14	0.0024412391378484375
57061	14	0.0006215742564524208
66112	14	0.00035717310674901156
68087	14	0.002097070663408836
69642	14	0.0026534478877692684
73373	14	0.12859218293044142
75243	14	0.1565129819708126
79470	14	0.059101969902619095
80615	14	0.11949965983187824
82946	14	0.12782659918286007
84417	14	0.04897430772903375
87357	14	0.002784959103401863
88419	14	0.0031956070988904757
9153	15	0.002759119112325759
21008	15	0.034021314427727926
35970	15	0.024587681061410897
57606	15	0.0011632606802737234
76275	15	0.0005311531592781494
85118	15	0.00034887231273553687
86796	15	0.004245195502673756
89531	15	0.0019312163295575528
90780	15	0.002224852266529577
2687	16	0.002759119112325759
4022	16	0.034021314427727926
10205	16	0.024587681061410897
10686	16	0.0011632606802737234
13674	16	0.0005311531592781494
15092	16	0.00034887231273553687
24945	16	0.004245195502673756
26435	16	0.0019312163295575528
27979	16	0.002224852266529577
33991	16	0.002927681520346964
35971	16	0.0030572656663109344
51217	16	0.000680900940437123
53842	16	0.004968993136493825
56541	16	0.0008078194228812882
57609	16	0.00749203705483384
65202	16	0.00048239572476355044
66965	16	0.0024158734395020765
72594	16	0.0022015565092653334
74445	16	0.00012595572221367907
78934	16	0.0027451702285063648
81151	16	0.00014827054352163817
81618	16	0.0011906240949712311
89532	16	0.0005124381832843777
4025	17	0.014363647424586436
5412	17	0.008203650834311368
6730	17	0.013978923647439084
24949	17	0.003988698218203642
26439	17	0.0035936533589370307
27981	17	0.012050926846845658
29540	17	0.019325847444008924
35975	17	0.011567810103431659
51221	17	0.01997595452511261
53846	17	0.017119641297657258
57613	17	0.001138813954278476
65206	17	0.010469746337176344
66972	17	0.02483562850056463
72600	17	0.0010149283060790122
74453	17	0.007645116068001244
78937	17	9.27105066937524e-05
81620	17	0.015367891407513927
90781	17	0.004850402358497896
2944	18	0.00042763893702545136
4289	18	0.01033493440936176
5659	18	0.0008197230351037491
7006	18	0.00015456246291875093
9286	18	0.0013219283855448328
10319	18	0.0011215102001642184
11091	18	0.003976516144047755
17405	18	0.001439572811571153
20144	18	0.0010093723321825854
23906	18	0.007016792351748129
25262	18	0.010065544330158795
26777	18	0.0010233159492288237
28300	18	0.0007843469602977239
29938	18	0.00018033423013314484
34437	18	0.0011205296108321024
36458	18	0.0007530938581734131
38177	18	0.006038882080254141
46254	18	0.0006706391887029215
48570	18	0.0016001994950427354
51757	18	0.0013923328890700522
54417	18	0.0180248093009465
56756	18	0.015270140244629356
57913	18	0.0031348190268700687
62442	18	0.0027619494981795415
67410	18	0.008933532670150308
72993	18	0.0003610194636373915
74852	18	0.0007368917154993344
77818	18	0.013427605678722724
79157	18	2.877330068069724e-06
81301	18	0.014404120424957319
85284	18	0.001751222250145685
87014	18	0.001359944931388569
88066	18	0.0017588009417154693
1	19	0.00042763893702545136
1320	19	0.01033493440936176
2945	19	0.0008197230351037491
4291	19	0.00015456246291875093
