time	magnitude	longitude	latitude	depth(m)	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score
2023-02-07T01:53:35.086	3.180	37.747	38.049	244.704	0.738	0.492	-0.068	0	15.531
2023-02-07T01:53:58.842	3.081	37.218	37.560	0.000	0.580	0.532	0.012	1	16.850
2023-02-07T01:54:24.832	3.054	36.868	37.364	1833.215	0.379	0.513	0.105	2	18.953
2023-02-07T01:55:21.032	2.300	37.290	37.381	3139.362	0.499	0.475	0.072	3	7.667
2023-02-07T03:29:03.610	3.946	37.513	38.080	26075.776	0.510	0.447	0.062	4	44.455
2023-02-07T03:30:01.894	4.462	37.674	37.793	11170.480	0.536	0.410	0.054	5	42.000
2023-02-07T17:35:38.440	2.703	36.665	38.097	91.560	0.483	0.558	-0.039	6	26.696
2023-02-07T17:36:25.867	3.011	37.096	37.472	0.000	0.823	0.629	-0.065	7	13.055
2023-02-07T17:36:40.652	3.063	37.499	37.514	0.000	0.431	0.357	-0.072	8	8.842
2023-02-07T17:36:42.195	2.389	37.150	37.466	16066.931	0.762	0.356	-0.113	9	15.869
2023-02-07T17:36:56.695	2.282	36.888	37.404	27954.836	0.663	0.154	0.012	10	8.446
2023-02-07T14:22:08.521	3.062	37.577	38.015	11676.073	0.581	0.375	-0.055	11	34.703
2023-02-07T14:23:16.857	4.223	36.581	38.065	14889.454	0.673	0.408	0.041	12	34.484
2023-02-07T17:37:58.901	4.181	37.684	38.036	21115.794	0.544	0.425	0.131	13	49.017
2023-02-07T14:24:45.188	3.474	36.601	38.041	0.000	0.571	0.428	0.023	14	30.391
2023-02-07T01:56:22.818	3.263	36.968	37.454	19.958	0.377	0.321	-0.034	15	7.619
2023-02-07T01:57:52.111	2.947	36.759	37.265	8797.119	0.644	0.477	-0.103	16	25.025
2023-02-07T02:00:38.030	2.492	36.960	37.272	0.000	0.627	0.385	-0.821	17	23.648
2023-02-07T06:58:20.691	3.497	36.783	37.144	180.320	0.576	0.511	0.013	18	36.474
2023-02-07T06:59:42.055	2.852	37.117	37.496	2378.140	0.651	0.523	-0.032	19	30.456
2023-02-07T07:01:19.588	3.502	37.460	37.486	17133.512	0.766	0.196	0.008	20	9.900
2023-02-07T07:01:28.887	3.116	37.579	37.834	0.000	0.664	0.396	0.263	21	14.966
2023-02-07T07:02:59.602	2.569	37.247	37.568	0.000	0.601	0.620	0.117	22	10.874
2023-02-07T07:03:02.526	2.854	36.878	37.388	0.000	0.606	0.397	0.159	23	15.745
2023-02-07T07:03:44.062	2.258	36.809	37.228	0.000	0.605	0.503	0.070	24	8.071
2023-02-07T03:32:34.885	2.825	36.873	37.446	8008.302	0.643	0.542	0.104	25	18.787
2023-02-07T03:35:52.035	3.372	37.658	37.817	629.895	0.594	0.388	-0.128	26	34.037
2023-02-07T21:07:22.476	3.012	36.964	37.174	8511.264	0.712	0.390	-0.031	27	24.535
2023-02-07T21:08:01.864	2.684	37.260	37.562	0.000	0.695	0.329	0.147	28	11.015
2023-02-07T21:08:11.292	2.533	37.313	37.625	127.483	0.503	0.535	0.772	29	15.217
2023-02-07T21:09:50.449	3.027	36.677	37.113	4459.198	0.641	0.402	-0.004	30	27.384
2023-02-07T21:10:24.186	2.324	37.441	37.717	23164.515	0.567	0.459	-0.305	31	19.795
2023-02-07T21:11:00.231	2.450	37.257	37.479	18023.198	0.575	0.483	-0.063	32	10.374
2023-02-07T21:12:15.551	2.942	37.542	38.022	0.000	0.640	0.446	0.130	33	21.793
2023-02-07T14:26:35.469	3.216	37.263	37.530	0.000	0.703	0.487	0.259	34	42.168
2023-02-07T14:27:19.596	2.231	36.995	37.242	0.000	0.773	0.438	0.127	35	9.699
2023-02-07T14:27:44.460	3.087	37.211	37.619	0.000	0.851	0.264	0.074	36	19.075
2023-02-07T14:27:52.225	2.354	36.856	37.727	0.000	0.358	0.439	0.067	37	7.676
2023-02-07T14:28:50.100	2.649	37.322	37.789	0.000	0.725	0.356	0.006	38	15.777
2023-02-07T14:30:15.030	2.972	37.195	37.696	0.000	0.846	0.195	0.035	39	7.528
2023-02-07T02:02:06.215	2.474	37.147	37.426	0.000	0.603	0.652	0.059	40	6.638
2023-02-07T02:02:57.673	3.089	37.330	37.541	0.000	0.768	0.380	-0.595	41	23.567
2023-02-07T02:03:44.048	2.789	37.356	37.527	0.000	0.676	0.467	0.477	42	9.000
2023-02-07T02:04:58.915	3.597	36.492	38.095	19586.051	0.704	0.402	-0.058	43	32.919
2023-02-07T02:05:42.175	3.719	37.785	38.093	18089.816	0.751	0.448	-0.012	44	32.335
2023-02-07T02:06:38.903	3.166	37.525	38.005	31000.000	0.771	0.399	0.221	45	15.014
2023-02-07T02:06:53.715	3.825	37.489	37.992	18240.963	0.606	0.465	0.033	46	33.986
2023-02-07T00:07:37.487	3.264	37.235	37.955	0.000	0.665	0.546	-0.029	47	11.442
2023-02-07T00:07:56.435	3.297	36.874	37.257	0.000	0.596	0.435	0.172	48	27.923
2023-02-07T00:08:21.277	2.438	36.978	37.404	12352.153	0.261	0.445	0.013	49	10.980
2023-02-07T00:09:47.605	3.042	37.265	37.672	31000.000	0.634	0.505	0.074	50	14.080
